__ 30 17 02 __ 25 13 32 
26 29 17 34 02 05 09 12 
14 21 24 06 20 08 32 19 

27 13 08 02 00 11 10 25 
17 30 24 16 19 26 31 20 
01 32 28 12 33 06 __ __ 
03 35 14 __ 22 18 21 23 
15 04 09 34 29 05 __ 07 

25 26 10 32 21 22 05 04 
01 __ __ 18 23 34 14 12 
06 27 03 29 33 16 02 31 
20 28 17 __ 35 08 07 11 
19 13 00 09 15 30 24 __ 

10 __ 03 14 17 25 09 06 
01 28 21 12 29 05 22 30 
27 13 33 00 35 23 18 __ 
20 15 19 32 07 31 26 34 
11 __ __ 02 16 24 04 08 

22 04 16 07 20 00 27 21 
30 18 23 31 __ 19 28 02 
32 29 __ 35 08 05 13 34 
09 01 06 25 24 14 03 15 
12 __ 11 10 26 33 __ 17 

27 30 19 __ 29 22 13 05 
10 20 11 14 15 07 26 23 
21 12 03 08 01 34 06 02 
32 00 __ 25 16 04 31 24 
__ __ 09 18 28 33 35 17 

20 03 16 12 24 25 19 33 
__ 05 13 15 35 23 29 __ 
01 __ 08 34 28 09 21 00 
06 30 31 04 02 26 11 32 
27 07 __ 18 14 22 10 17 

33 05 09 28 __ 27 08 03 
12 __ 00 30 26 11 35 15 
18 29 02 25 21 23 16 04 
14 01 __ 34 __ 10 24 31 
13 22 32 17 20 06 07 19 

33 34 __ 18 20 22 25 19 
08 27 17 10 09 01 32 07 
14 21 __ 11 24 13 __ 30 
35 02 03 28 00 23 29 12 
06 05 26 __ 31 16 15 04 

13 04 22 33 01 02 25 00 
30 19 27 __ 10 05 14 __ 
31 20 21 26 24 __ 28 11 
__ 35 09 06 17 29 18 34 
23 32 03 08 15 16 12 07 

27 __ 16 08 14 35 22 02 
03 17 32 30 34 23 12 15 
04 00 19 __ 26 33 __ 20 
11 13 01 06 18 07 28 10 
05 09 31 21 29 25 24 __ 

05 01 31 24 10 29 14 17 
13 32 30 __ 16 15 25 __ 
12 34 __ 04 __ 09 28 19 
23 02 06 08 27 22 00 33 
35 20 21 26 03 07 18 11 

22 19 15 21 06 32 18 23 
10 27 04 25 03 01 00 35 
28 24 12 05 29 26 07 __ 
20 13 31 __ 11 02 09 33 
08 __ 30 __ 14 16 17 34 

24 __ 28 22 03 00 25 33 
05 14 __ 08 __ 19 __ 01 
26 23 34 04 07 18 12 31 
27 16 02 09 11 15 10 30 
17 35 06 13 29 20 21 32 

__ 33 22 21 28 34 10 17 
09 35 14 00 01 16 __ 06 
20 11 04 32 25 31 05 18 
08 02 19 12 __ 26 __ 27 
30 29 13 24 23 03 07 15 

32 14 08 12 05 11 __ 18 
07 34 13 06 03 10 00 04 
22 16 25 30 26 29 02 __ 
33 17 35 __ __ 01 15 28 
21 09 23 24 31 20 27 19 

30 03 11 24 17 08 06 15 
01 26 07 12 __ 35 13 00 
23 25 09 02 22 28 21 20 
33 __ 31 32 27 18 34 04 
__ 19 10 __ 14 29 16 05 

26 32 __ 08 00 27 __ 03 
34 35 13 18 06 28 19 24 
07 16 33 05 25 09 31 04 
14 30 __ 10 23 29 17 __ 
22 15 02 12 20 21 11 01 

35 18 21 19 03 31 22 __ 
08 26 __ 27 05 23 16 33 
04 01 02 14 34 11 15 24 
12 10 25 09 07 17 30 __ 
29 06 20 __ 13 32 00 28 

34 __ 28 __ 30 23 27 12 
__ 05 22 31 06 02 20 26 
00 __ 25 17 18 08 19 35 
29 15 33 10 04 14 16 11 
07 03 09 21 01 24 13 32 

15 17 14 16 24 35 20 28 
04 07 29 23 11 __ 09 31 
27 08 10 34 __ 02 05 22 
00 06 01 26 03 18 12 30 
25 33 __ __ 13 21 19 32 

30 23 33 __ 22 16 08 10 
05 __ 01 03 32 __ 20 28 
02 31 21 06 14 09 25 35 
07 27 13 12 29 00 11 26 
24 04 15 34 17 19 18 __ 

17 06 16 33 __ 30 22 05 
32 18 28 23 27 13 19 12 
00 __ 03 11 20 26 15 31 
08 14 04 09 __ 25 21 29 
24 34 __ 35 10 02 07 01 

01 09 30 13 08 11 20 23 
00 __ 02 35 32 19 07 33 
03 10 04 22 14 06 29 28 
25 12 __ __ __ 26 21 16 
24 15 17 05 31 27 18 34 

15 02 29 18 28 __ 08 33 
17 07 34 20 19 12 22 03 
16 01 13 30 00 26 10 23 
27 __ 14 32 25 __ 24 21 
06 11 04 35 09 31 __ 05 

32 24 26 01 03 17 __ 33 
18 28 10 08 25 31 29 35 
14 20 27 23 __ 00 04 05 
__ 30 02 06 15 21 22 11 
__ 07 13 19 34 16 09 12 

30 25 21 15 29 27 20 __ 
06 33 16 14 22 10 __ 17 
02 03 18 12 23 26 09 32 
11 34 04 01 07 35 __ 13 
24 19 31 __ 08 00 05 28 

13 26 25 23 22 19 12 32 
16 30 11 15 14 00 07 __ 
09 02 05 31 28 20 34 35 
17 04 __ 01 __ 03 10 29 
21 24 27 18 __ 06 08 33 

15 16 21 06 __ 28 24 __ 
35 02 05 10 22 09 00 04 
07 __ 26 14 17 27 30 19 
33 18 31 01 03 08 32 25 
29 34 12 23 13 11 __ 20 

27 32 21 23 15 08 04 05 
18 19 12 07 35 __ __ 16 
10 30 01 11 00 20 02 31 
13 __ 14 26 34 29 17 03 
33 22 25 24 28 06 09 __ 

07 16 35 21 25 32 30 04 
26 10 02 __ 05 24 08 __ 
19 09 00 17 14 22 27 15 
29 28 11 __ 23 33 18 __ 
12 34 01 13 03 20 06 31 

29 18 20 22 17 03 __ 24 
04 28 01 12 09 10 32 00 
16 34 13 07 33 21 23 05 
30 31 27 19 15 14 06 __ 
11 __ 08 35 02 25 26 __ 

__ 05 14 23 34 22 30 09 
25 __ 19 02 31 27 20 00 
01 04 35 18 16 __ 10 13 
15 07 08 26 28 11 33 06 
21 24 03 __ 29 32 12 17 

25 __ 20 10 19 29 08 __ 
30 07 06 03 15 13 26 __ 
27 33 00 34 17 14 12 04 
05 11 24 __ 28 09 22 01 
16 02 32 35 18 31 23 21 

06 34 03 32 14 28 18 __ 
04 30 19 21 15 __ __ 08 
10 35 01 11 09 __ 31 29 
33 02 13 27 24 17 20 07 
25 16 12 23 26 05 00 22 

15 06 17 23 19 20 __ 22 
05 11 14 28 32 02 __ __ 
10 07 18 30 04 12 34 16 
__ 24 08 29 33 27 00 21 
01 03 09 35 13 25 31 26 

__ 20 05 09 15 06 10 02 
30 31 34 18 29 01 26 13 
16 08 21 03 28 __ 27 23 
19 24 04 00 17 25 12 33 
14 07 35 11 32 __ 22 __ 

__ 03 __ 33 12 06 20 34 
02 26 16 __ 04 01 14 23 
00 11 __ 09 30 31 32 25 
24 13 05 22 10 08 28 35 
27 21 18 07 17 15 19 29 

31 16 27 15 07 34 13 05 
__ 33 01 17 22 __ 00 18 
02 35 12 09 10 04 28 30 
20 23 26 11 29 08 03 __ 
24 14 32 19 __ 25 21 06 

13 11 __ 15 26 03 35 06 
__ 27 32 __ 12 31 00 33 
04 22 20 16 05 34 18 10 
24 09 02 01 __ 28 21 25 
08 30 23 19 29 14 17 07 

22 23 13 00 26 25 10 27 
12 02 15 20 17 05 __ 33 
06 28 19 18 16 14 08 24 
__ 32 07 35 09 __ __ 21 
30 29 34 04 11 01 03 31 

21 35 03 31 __ 10 02 20 
05 24 27 01 18 13 00 22 
29 34 16 06 08 23 25 __ 
19 26 14 17 04 07 15 12 
__ 28 11 __ 30 33 09 32 

26 35 12 __ 18 00 23 13 
32 07 20 34 28 __ 03 06 
33 02 29 04 __ 16 17 15 
24 09 30 08 05 27 31 19 
10 01 22 __ 11 14 21 25 

32 20 __ 35 19 24 __ 25 
30 __ 00 01 09 27 18 14 
16 11 22 08 __ 13 10 33 
02 31 04 28 23 07 17 06 
21 26 03 15 34 29 12 05 

01 25 26 24 12 00 13 10 
27 34 __ 18 22 __ 33 31 
04 19 07 02 32 03 __ 16 
06 14 35 11 28 15 29 05 
08 30 23 09 17 20 __ 21 

17 27 26 14 07 22 15 29 
32 09 35 11 06 23 24 __ 
34 00 03 13 30 01 31 16 
__ 10 12 25 28 08 02 18 
__ 04 __ 33 20 19 21 05 

17 21 04 __ 23 28 10 13 
__ 06 24 __ 20 16 34 29 
02 30 31 35 27 03 05 14 
26 08 12 25 00 09 01 32 
__ 33 22 11 07 19 15 18 

23 13 00 12 __ 24 30 25 
17 22 19 08 16 09 10 __ 
21 05 35 01 31 __ 02 07 
28 __ 29 33 11 15 18 27 
14 32 34 20 06 26 04 03 

05 30 10 13 22 31 __ 12 
21 28 03 34 14 23 04 01 
35 27 17 15 26 19 __ 07 
02 __ __ 11 16 08 20 06 
25 24 32 29 33 09 18 00 

__ 09 07 __ 29 34 22 11 
30 33 25 15 31 12 19 06 
04 10 16 26 01 14 08 05 
__ 23 __ 27 21 03 35 13 
24 00 32 20 18 28 17 02 

29 06 05 34 26 15 02 01 
__ 24 13 04 35 08 32 27 
28 23 30 19 __ __ 33 25 
31 __ 20 00 03 09 21 10 
17 16 11 12 18 07 22 14 

14 04 05 16 08 31 28 21 
09 27 35 02 29 __ 18 13 
03 32 12 10 34 07 22 25 
06 20 01 __ 00 __ 33 19 
23 30 26 24 17 15 11 __ 

__ 35 16 05 32 15 08 29 
24 18 02 00 31 01 09 17 
__ 26 30 07 25 10 12 23 
19 03 __ 22 13 06 28 04 
14 34 21 33 27 20 11 __ 

25 05 17 30 33 34 19 29 
26 31 06 24 14 03 12 32 
02 23 00 28 35 __ 07 __ 
18 01 04 27 08 __ 13 22 
20 11 15 10 09 16 __ 21 

08 __ __ __ 35 14 __ 09 
00 33 03 04 23 19 34 07 
22 26 05 15 02 10 12 17 
16 31 18 01 06 28 27 29 
11 13 32 30 20 25 21 24 

05 01 17 10 15 22 20 33 
__ 29 31 21 18 06 19 02 
28 07 14 13 __ 35 16 09 
00 04 __ 34 __ 32 25 27 
11 30 24 12 23 03 26 08 

13 22 10 18 30 28 11 15 
25 01 __ 07 31 02 03 __ 
35 29 04 __ 27 05 09 06 
23 17 34 21 16 24 26 08 
00 32 33 19 14 __ 12 20 

15 04 08 __ 29 07 01 __ 
26 34 32 __ 18 10 03 00 
21 19 27 11 __ 28 05 33 
14 16 25 13 02 06 24 17 
23 20 30 22 09 35 31 12 

10 00 04 01 12 19 __ 32 
24 16 23 __ 28 30 06 05 
26 22 08 29 13 31 17 21 
__ 20 18 25 03 15 __ 14 
34 02 09 11 33 27 35 07 

20 13 01 02 __ 03 28 11 
23 00 12 27 06 21 14 32 
17 __ __ 35 07 30 31 19 
05 08 04 29 15 18 24 16 
22 10 34 26 09 __ 33 25 

35 27 30 10 28 15 29 17 
__ 11 12 25 16 23 21 32 
__ 26 __ 09 07 19 02 01 
__ 05 24 33 18 14 13 04 
22 08 31 00 03 06 20 34 

30 06 24 35 05 10 16 __ 
20 00 __ 34 13 28 07 14 
02 25 18 09 __ 04 17 23 
01 19 31 29 21 33 32 08 
22 11 __ 12 15 27 03 26 

22 12 04 24 16 01 14 30 
18 19 25 32 06 11 29 21 
__ 28 09 00 __ 17 07 34 
02 __ 23 31 20 13 27 10 
35 15 03 08 26 05 __ 33 

02 32 13 20 11 18 06 __ 
14 19 28 21 22 03 34 33 
15 12 26 35 16 05 10 04 
09 __ 08 31 27 23 25 24 
00 __ __ 30 01 07 17 29 

31 07 32 20 03 __ 33 13 
04 27 __ 10 29 12 17 09 
__ 11 06 18 30 00 15 02 
19 21 28 22 01 __ 34 05 
25 35 08 14 26 23 24 16 

__ 15 18 33 26 09 00 03 
__ __ 23 19 25 17 20 29 
27 16 08 13 11 06 12 01 
35 30 31 21 __ 02 07 14 
24 34 28 05 10 04 22 32 

19 03 17 24 02 07 20 26 
35 11 08 21 __ 04 __ 06 
22 27 34 13 10 __ 09 05 
25 15 __ 32 12 00 16 18 
01 31 30 23 29 14 28 33 

22 __ 20 17 28 25 18 29 
11 33 04 10 27 00 __ 32 
03 02 24 01 12 14 34 35 
23 21 08 30 __ 16 31 09 
05 __ 26 13 19 06 15 07 

14 21 18 03 33 10 02 24 
26 __ 31 32 __ 06 __ 01 
27 20 12 13 30 08 34 25 
17 00 09 15 11 35 23 29 
04 16 05 __ 22 07 28 19 

03 28 18 32 05 26 27 33 
19 14 12 31 __ 13 16 25 
01 __ __ 00 30 07 11 20 
35 34 21 09 24 08 23 10 
__ 04 15 02 06 29 17 22 

25 20 02 09 35 04 __ 30 
03 __ 15 08 22 31 13 12 
10 17 33 23 __ 28 07 19 
11 16 32 34 26 18 29 06 
14 27 24 01 00 21 __ 05 

__ 28 19 24 __ 03 07 25 
17 10 18 15 06 __ 05 32 
__ 20 31 22 04 13 16 12 
08 34 29 02 01 23 30 33 
35 21 00 09 11 14 26 27 

12 __ __ 14 07 27 09 19 
29 17 02 01 20 08 30 03 
23 31 18 15 13 00 22 24 
16 25 26 __ 21 33 28 32 
05 04 35 34 11 10 06 __ 

32 31 02 10 13 __ 06 29 
00 04 __ 14 01 28 05 03 
08 26 11 22 19 27 33 18 
30 20 17 12 25 __ 21 __ 
23 24 16 35 34 07 15 09 

04 19 16 26 09 17 33 35 
31 11 25 __ 29 28 32 27 
08 01 07 21 03 13 18 10 
__ 00 __ 15 30 __ 05 12 
34 23 06 24 02 22 14 20 

__ 03 25 05 19 22 08 18 
__ 30 __ 28 20 32 17 23 
07 14 13 34 26 29 35 16 
24 33 04 01 06 12 00 02 
31 15 10 21 __ 11 09 27 

15 33 03 __ 16 30 28 25 
13 26 06 32 23 11 05 12 
02 __ 21 09 29 __ 19 17 
18 10 24 04 00 35 22 01 
__ 31 08 07 34 14 20 27 

07 09 16 28 21 __ 31 15 
26 32 01 30 06 35 19 __ 
24 34 29 22 25 14 13 11 
00 04 12 __ 05 17 27 10 
33 08 18 20 23 03 02 __ 

24 03 12 07 29 28 15 14 
20 23 __ 18 __ 26 25 04 
17 34 00 22 01 19 09 30 
31 27 32 __ 16 05 06 33 
02 08 13 35 11 __ 21 10 

__ 24 17 __ 02 12 32 33 
18 04 __ 03 22 06 15 11 
19 08 07 05 35 27 25 01 
30 10 23 14 09 16 26 31 
28 00 34 13 29 __ 20 21 

34 16 22 19 __ 03 12 13 
09 27 31 04 08 18 25 07 
28 06 29 __ 11 05 __ 17 
21 __ 10 23 01 14 00 20 
33 35 26 32 30 24 15 02 

28 10 32 13 20 __ 08 04 
01 00 __ 11 17 25 __ 18 
14 15 27 __ 06 35 05 29 
30 24 12 21 26 34 33 07 
22 23 09 16 31 19 02 03 

27 26 34 21 10 06 15 14 
18 __ 28 35 32 04 00 01 
12 02 11 __ __ 33 19 03 
16 13 31 22 05 09 17 __ 
20 08 29 25 23 07 30 24 

24 23 35 26 27 16 15 06 
13 30 33 02 11 22 34 __ 
12 __ __ __ 32 21 17 07 
03 31 05 25 00 08 10 09 
29 01 28 04 18 14 20 19 

23 13 14 20 26 11 29 15 
00 30 __ 32 12 __ 01 05 
__ __ 08 33 02 10 24 06 
21 25 22 17 19 31 04 28 
03 35 18 27 09 34 07 16 

07 14 35 32 __ 08 01 33 
04 06 02 16 34 12 31 22 
11 18 00 17 19 26 27 __ 
10 28 03 25 05 30 29 15 
__ __ 09 20 24 13 21 23 

09 02 13 15 04 __ 10 22 
19 28 11 12 25 34 18 00 
31 35 __ 14 07 20 03 08 
27 01 16 29 24 06 23 32 
05 17 __ 26 __ 21 33 30 

35 10 02 31 13 07 08 12 
__ 06 __ 20 05 25 09 __ 
15 22 04 14 03 32 11 00 
34 29 19 30 18 28 __ 01 
26 21 33 17 23 27 16 24 

20 02 12 18 14 10 35 34 
__ __ 22 __ 01 07 25 17 
05 31 32 03 06 29 09 23 
27 04 00 __ 15 16 28 13 
11 33 30 21 24 08 26 19 

14 01 31 08 19 02 00 15 
04 __ 16 18 29 27 __ 28 
06 23 17 __ 25 26 03 12 
33 13 10 09 07 22 32 05 
20 __ 21 24 34 35 11 30 

11 17 10 25 02 23 31 21 
27 __ 35 30 12 28 14 06 
24 00 15 26 01 08 __ 20 
07 05 __ 03 13 04 09 32 
29 34 22 16 __ 33 19 18 

27 14 00 20 12 19 22 06 
01 24 29 03 33 34 30 10 
11 05 21 02 __ 28 23 17 
07 16 __ 26 04 18 25 13 
__ 09 __ 32 35 08 15 31 

06 21 25 26 13 __ 22 04 
35 19 09 12 05 34 28 07 
32 01 33 __ 23 __ 30 03 
15 29 16 31 18 11 10 08 
00 20 __ 24 27 17 14 02 

15 34 03 06 28 00 18 33 
27 35 19 21 02 17 20 22 
32 10 __ 30 11 14 __ 31 
08 13 26 __ 09 12 05 24 
23 __ 07 25 16 04 29 01 

30 31 27 05 26 01 04 33 
12 34 02 29 23 00 13 25 
20 17 __ 07 24 14 22 28 
__ 09 __ __ 35 21 16 19 
18 11 03 15 10 06 32 08 

31 29 15 10 __ 33 20 17 
25 06 30 07 19 01 32 35 
28 27 14 09 11 08 16 12 
00 __ 18 23 02 26 24 04 
05 22 03 34 21 __ 13 __ 

14 17 06 27 01 11 20 23 
05 28 __ 03 33 19 00 07 
13 35 31 __ 22 29 32 34 
24 08 __ 16 04 15 09 __ 
18 26 02 12 30 10 21 25 

33 31 02 __ 25 14 03 20 
24 11 28 12 23 00 06 19 
09 22 21 15 26 13 04 34 
27 10 08 32 18 __ 17 16 
__ 07 30 05 29 35 __ 01 

29 35 10 34 03 16 17 08 
__ 12 05 11 00 19 02 07 
25 23 28 20 30 __ 32 14 
22 06 13 18 04 31 01 09 
21 26 __ 27 15 24 __ 33 

19 21 25 __ 33 07 18 17 
10 09 03 00 20 01 04 02 
26 15 29 05 16 __ 24 35 
12 14 34 __ 23 30 06 __ 
27 28 08 22 31 11 13 32 

30 02 17 12 31 19 14 __ 
06 34 03 20 18 01 16 00 
__ 04 15 09 __ 32 29 11 
26 22 __ 35 13 28 08 05 
10 33 25 27 23 07 21 24 

04 01 12 13 19 14 24 33 
11 __ 34 07 15 00 09 28 
05 20 22 __ 10 30 25 08 
29 21 06 31 35 __ 02 17 
16 03 23 26 27 __ 32 18 

21 31 29 03 06 __ 33 30 
__ 08 07 23 34 11 12 18 
10 32 02 27 __ 04 13 00 
19 __ 09 24 01 28 25 26 
17 20 05 14 15 22 35 16 

10 __ 01 32 12 24 __ 28 
27 03 15 18 05 07 33 04 
__ 20 14 08 11 22 __ 13 
34 09 19 02 16 35 29 25 
17 06 23 00 21 30 26 31 

__ 07 15 18 __ 10 06 11 
30 28 35 32 13 24 17 34 
__ 22 21 33 08 27 16 __ 
03 14 00 09 26 19 25 12 
02 01 20 23 05 31 04 29 

19 08 06 __ 07 23 34 35 
00 26 15 33 10 01 29 12 
11 21 05 22 27 03 17 16 
__ 04 28 32 __ 24 30 31 
02 25 20 13 14 09 18 __ 

21 __ 05 34 12 00 15 01 
22 16 02 __ 07 10 25 11 
14 32 24 26 31 20 23 29 
09 03 35 04 08 18 33 28 
__ __ 27 13 06 19 17 30 

33 06 32 04 15 03 08 30 
22 18 12 29 24 35 27 10 
34 __ 02 14 01 07 00 __ 
25 19 05 16 11 20 09 __ 
23 31 __ 13 17 26 28 21 

24 30 08 12 21 28 19 33 
22 16 14 29 26 17 27 03 
15 __ 32 18 00 34 13 25 
01 35 09 20 23 04 07 __ 
02 10 05 31 06 __ 11 __ 

08 31 29 02 05 04 15 23 
__ 33 07 09 01 __ 32 30 
12 17 __ 34 16 35 00 __ 
06 21 26 14 10 13 19 22 
25 28 27 24 18 20 03 11 

01 04 26 28 27 22 __ 08 
00 __ 13 25 12 34 05 33 
__ __ 23 18 15 31 02 14 
29 20 17 09 30 11 10 03 
16 19 21 06 24 07 32 35 

25 32 07 05 08 __ 11 02 
27 __ 16 01 23 22 18 04 
14 15 29 03 12 19 24 21 
00 13 31 10 09 35 34 06 
33 17 20 28 30 __ 26 __ 

25 29 06 21 __ 15 __ __ 
03 14 34 __ 11 00 24 12 
22 32 18 35 17 30 16 26 
10 08 02 05 28 07 27 23 
20 19 13 33 01 04 31 09 

04 18 27 13 24 __ 14 32 
03 11 22 09 02 28 05 26 
23 15 10 20 21 08 17 __ 
19 01 25 00 16 30 __ 12 
34 29 __ 33 35 07 31 06 

17 __ 22 27 01 19 14 10 
18 32 26 29 08 09 16 25 
21 13 05 __ 28 04 24 12 
20 30 23 31 34 15 02 __ 
11 06 03 33 07 00 __ 35 

08 25 06 14 __ 30 05 33 
07 35 23 16 29 20 26 09 
10 11 13 17 __ 28 __ 19 
15 00 27 31 12 32 18 04 
03 21 02 01 24 __ 34 22 

34 02 31 12 23 11 10 25 
27 22 19 14 30 09 16 06 
04 33 32 05 01 07 13 18 
24 __ 17 29 15 26 35 __ 
__ 08 __ 28 03 21 20 00 

27 14 10 23 32 11 05 33 
25 20 24 07 31 30 06 __ 
09 00 22 __ 12 18 __ 29 
34 13 19 16 26 35 03 __ 
02 04 15 01 08 28 21 17 

35 11 33 05 15 31 16 17 
34 28 18 12 __ 03 30 29 
25 02 07 04 14 23 __ 06 
__ 32 08 00 13 10 26 __ 
20 27 22 21 24 01 09 19 

__ 28 07 27 03 02 32 __ 
35 11 __ 05 04 20 01 21 
10 14 23 16 __ 26 34 08 
06 22 30 17 13 18 09 29 
15 31 24 19 12 00 25 33 

04 00 34 27 31 16 09 28 
26 24 20 30 29 11 13 33 
__ 06 05 35 19 17 08 18 
__ 07 12 10 03 __ 02 14 
23 25 22 15 __ 01 21 32 

__ 09 19 16 05 02 04 30 
03 01 13 35 21 34 25 06 
18 07 22 10 24 11 __ 32 
28 29 20 23 00 __ 15 12 
33 17 __ 08 31 27 26 14 

29 34 09 16 12 26 31 __ 
32 03 07 01 18 19 33 10 
14 15 24 27 08 30 __ 11 
20 02 28 35 05 04 21 __ 
17 23 22 00 06 __ 25 13 

03 20 08 35 32 28 10 __ 
15 23 29 __ 26 05 __ 30 
01 22 24 __ 25 00 34 07 
09 21 27 11 12 18 31 33 
17 13 14 06 16 02 04 19 

29 26 __ 06 14 24 13 19 
34 10 11 12 22 05 07 00 
25 01 30 03 __ 02 21 16 
18 20 08 28 17 32 15 09 
27 31 __ 23 33 __ 04 35 

09 35 31 02 32 30 21 18 
03 00 17 05 28 04 __ 16 
12 01 __ 33 __ 10 14 15 
13 25 07 34 08 20 11 29 
24 22 06 27 __ 23 19 26 

01 __ 00 27 25 34 __ 32 
15 09 24 33 20 19 31 28 
13 18 __ 22 23 07 10 08 
04 06 11 __ 35 29 21 03 
02 12 16 14 05 17 26 30 

30 18 23 __ 21 19 04 26 
27 16 10 02 01 06 07 33 
12 34 13 32 29 25 __ 14 
00 20 03 09 __ 28 35 31 
08 24 17 22 05 11 15 __ 

02 16 11 24 06 25 20 14 
12 __ 05 34 04 __ 18 22 
03 33 10 30 15 28 23 __ 
09 32 17 00 08 07 19 35 
13 21 29 26 01 __ 31 27 

__ 29 31 07 01 30 12 32 
03 34 21 23 17 __ 13 05 
__ __ 11 02 09 06 26 22 
04 27 08 14 33 20 35 15 
16 25 10 24 28 18 19 00 

18 25 __ 15 21 26 11 27 
03 02 31 __ 10 19 06 16 
07 13 17 12 32 29 08 22 
20 24 28 14 __ 05 01 33 
34 23 00 09 __ 30 04 35 

29 28 19 25 __ 14 01 33 
12 09 __ 30 20 11 07 31 
05 08 __ 32 22 02 23 17 
24 13 18 27 06 16 35 26 
10 21 03 04 34 __ 00 15 

06 30 01 34 25 12 03 33 
11 28 35 __ 09 08 10 21 
27 00 02 05 __ 15 32 04 
26 19 14 31 24 07 29 16 
17 __ 23 __ 18 20 13 22 

04 28 31 06 21 19 08 12 
03 17 11 25 22 18 13 29 
26 __ __ 16 02 09 23 33 
34 27 __ 00 14 35 01 05 
__ 15 32 07 10 30 20 24 

__ __ 07 05 35 31 19 21 
01 27 24 10 00 09 04 02 
22 08 29 __ 18 25 11 23 
16 28 14 12 33 15 06 03 
30 32 26 __ 17 13 20 34 

14 00 33 34 15 07 13 17 
25 05 18 12 19 __ 22 28 
20 02 21 __ __ 23 29 16 
